row ID,row m/z,row retention time,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Mo_2019_542.mzML Peak area,Mo_2019_343.mzML Peak area,Mo_2019_339.mzML Peak area,Mo_2019_342.mzML Peak area,Mo_2019_338.mzML Peak area,Mo_2019_349.mzML Peak area,Mo_2019_348.mzML Peak area,Mo_2019_346.mzML Peak area,Mo_2019_344.mzML Peak area,Mo_2019_345.mzML Peak area,Mo_2019_347.mzML Peak area,Mo_2019_337.mzML Peak area,Mo_2019_325.mzML Peak area,Mo_2019_328.mzML Peak area,Mo_2019_334.mzML Peak area,Mo_2019_341.mzML Peak area,Mo_2019_332.mzML Peak area,Mo_2019_327.mzML Peak area,Mo_2019_333.mzML Peak area,Mo_2019_335.mzML Peak area,Mo_2019_340.mzML Peak area,Mo_2019_329.mzML Peak area,Mo_2019_331.mzML Peak area,Mo_2019_324.mzML Peak area,Mo_2019_336.mzML Peak area,Mo_2019_321.mzML Peak area,Mo_2019_330.mzML Peak area,Mo_2019_326.mzML Peak area,Mo_2019_320.mzML Peak area,Mo_2019_322.mzML Peak area,Mo_2019_543.mzML Peak area,Mo_2019_351.mzML Peak area,Mo_2019_323.mzML Peak area,Mo_2019_350.mzML Peak area,Mo_2019_352.mzML Peak area,Mo_2019_353.mzML Peak area,Unnamed: 46
13,598.4521450466581,11.093051416666665,2.0,,,,,,,52787741.46609078,43809301.35674906,36796993.39462755,41448552.43249348,20454452.07947819,42846761.64705973,49281526.59358154,34226097.00888266,25696520.90582694,29200028.308007784,27447691.32493482,22463755.11386574,39555908.94976706,29697823.951831076,41826895.5883612,30286696.9197523,31475839.079246894,32040128.46044728,32708334.24289808,34901202.65889501,30696730.30822586,30498718.097481705,25598760.12949881,25817043.86472325,42315698.740417205,33559302.85169773,54488940.03541885,52542268.05370558,39272883.27186951,29225621.901549134,37685579.35043696,53075087.6908012,40436554.146812394,39346582.72941004,31285323.248018026,27381401.69459348,
14,227.1754156748454,2.948901613888889,2.0,45.0,[M+H]+,,4.0,1677;944;28731;1568,226.1681,227694992.1396563,1353708476.5571322,6860432683.2281885,1472505886.1926198,5108745597.596046,2025022374.3678,2485795994.435069,2779948054.3893647,1679561073.0006378,4106932747.1165276,6305363407.279694,6873423351.778915,1400798670.1129436,4625086745.1271105,1744387166.4828215,6794073912.689025,2087700869.7260454,1737005334.129098,1878570530.0749946,1695023160.2423284,4254574046.943176,2641144309.914204,2468821795.53316,6337006661.802251,4457279104.616296,5336383844.849864,6238341173.786727,1937921139.8771942,7046025384.711639,7964661708.728477,355331162.5142223,1652839434.3906221,3733384195.7862573,1903854217.3723085,1450405093.6076365,4229375882.818704,
15,682.3633812798394,11.072231944444447,2.0,,,,,,,91596869.75243051,50026730.34982923,52584105.41590297,43904941.33053424,34149837.13825421,28068523.588405296,30444240.82656137,34458467.676982,36177887.45936557,44711648.46762422,35369223.12155872,33404453.22997832,41813929.70150984,22524951.975537997,40614015.57728786,36042782.502700604,33563272.46137356,27839673.73483021,36366810.8628641,25699564.06973925,22376022.5402872,41738192.4050123,25393502.98052939,23254622.342675705,37213876.08823845,24104419.996120315,33417070.31234024,48112270.27891755,28012343.36020504,25151562.57232055,65145458.55329204,53089729.80158048,20250979.233479805,40091321.36536183,50414193.00721305,37895312.64759189,
18,448.27893663658233,11.853735314285714,2.0,,,,,,,82076731.28079058,651179.6047875134,570336.8575780084,1078389.5734226964,263628.3421942966,94113.99695748038,2329500.724815118,97306.3056808291,83650.68421523487,207850.88443576792,241377.60093946586,915002.183722148,342183.0257255856,622857.685579926,175263.6341600076,804037.4074024238,3785197.662885066,191578.67154258036,303580.20818648336,288449.10815333447,573340.5920439832,248437.06158425024,1356914.740621747,152035.28888504975,730741.9080272435,267097.0360060831,326176.6307162105,567352.5973462504,251865.0068426079,693471.2949332176,37524.266786778215,0.0,166662.5213788182,273919.9517713444,114823.42985015606,96620.55827460988,
20,450.27617128199324,11.854527548387097,2.0,,,,,,,79767313.89885947,686695.2294304506,365768.3608807053,876941.859966798,103280.91369890596,123333.34353697357,2115343.4133979687,51613.95468808458,41393.50216488312,258972.3202925419,153171.59858203368,649287.8049466399,151096.4844505084,569558.2939920749,141412.65473194208,846254.1160811711,3741870.79457538,61607.29972851684,154998.64720570244,203994.14353253832,437861.51618824026,130296.78812238446,1357323.384530145,0.0,683851.5081278293,0.0,190527.81223083966,0.0,0.0,405127.4901086671,43471.39804385816,53046.01303828047,0.0,262893.52336107084,119952.53861050734,29768.59000312485,
22,432.2504171074762,9.64100474,2.0,,,,,,,46859465.56929733,0.0,0.0,0.0,0.0,7235246.376378832,381113.1402513744,3897963.8183380435,0.0,5747479.019826434,6650453.939910365,0.0,0.0,3176628.1004216126,4431404.615899575,0.0,1627001.8104810412,0.0,5012796.914360377,4235557.994483562,0.0,6206526.583566153,418580.99984919577,0.0,3469402.9275082108,0.0,4746989.083733613,0.0,0.0,0.0,5250634.956224532,10112870.385141963,0.0,9270489.994332347,8525061.11215903,9654786.820200352,
23,546.3265668560479,10.297414277777776,2.0,,,,,,,92423300.49209511,2428429.7728424724,3026390.4959400343,31797774.7106633,7412166.734357746,416406.8395190626,396939.7273504744,3184099.2256293907,9050307.268771902,11134164.026310744,4071474.618311236,236804.8198485965,17713959.116395727,16937717.100811876,20483159.24369444,1394156.0350593629,55330678.92468514,86768674.58644241,44808871.00168942,29948293.107859064,339373.8547912554,79188235.43849327,1610565.2974823585,11560308.993851265,2312423.3837601845,12810638.213376472,2014718.2668403143,158620316.7991117,8048749.864784031,22970945.174492,11187083.258605337,5391198.172481697,13619760.825423688,598577.9175496899,2648500.0686642416,17182191.9244443,
25,318.19120449490015,9.540678455555557,2.0,441.0,[M+NH4]+,,2.0,30209;141,300.1581,73054843.12561856,73159289.59819967,62362840.18627396,105432997.84578896,26358472.28665217,55629085.77944239,44584111.12013907,59990321.33781709,57674168.29031077,285769610.8077601,114324038.46149021,69344503.79203989,47853774.904541,55894694.648607396,86717055.41965543,59673938.18675659,393593918.9102218,139898219.23694798,284271915.63229465,138068622.41529167,76520073.22473027,249447956.40087652,84078409.29347222,68217644.14771603,58239696.73803805,41181631.12838773,55309570.13423905,248953159.77858225,36498431.21859389,48296088.04836368,50114720.25078952,106831478.11046936,76391237.94307403,73041282.3515711,99070507.33807528,106058157.05811957,
26,628.1951251559788,11.617793111111116,2.0,516.0,[M+NH4]+,,2.0,43570;4373,610.1611,53009823.97728866,202372161.5155388,114327769.47027496,329248214.0957281,332448285.6279533,593941574.0727148,551833220.7982436,257825465.8890419,135511565.21578157,189761360.43765688,325049739.51984936,243420285.09489855,73946590.77541414,109340620.95722164,121561263.29129931,195378604.55004162,45180527.34175962,178922384.03517854,108356203.69082594,237560843.39338908,292201853.71082383,81937424.33681253,64836051.90637086,141617726.3082328,77261544.68403837,68166712.71485639,396419360.29913193,200856731.80803302,72448030.29836191,67959532.93795796,133415393.73185644,329337947.3159154,62722859.94046102,350455939.3343978,82219110.81337869,327384937.72778666,
27,242.21144909328885,9.405685363888887,2.0,,,,,,,52494601.13814998,65895919.39628609,52290479.47313914,50165148.67309448,41694331.52678571,18386975.10840692,6924688.5062772175,33910479.40454074,38477025.285463214,50810424.90492833,35611521.048348606,28663773.96741233,30451752.17207484,51115370.46266525,56803861.52110496,38412951.64883707,21368762.29033763,59696869.90388116,74910383.99810107,49328588.48983225,20650111.69811524,79719074.46335274,901228.9336272271,51327157.0250236,56331953.27293278,30633577.085396353,28472200.77362075,27378813.992993373,36833889.370443135,66921894.74596077,35203614.34061939,60765115.48566428,7800412.42415365,30763499.171891265,64580113.00468198,54263328.64946292,
28,554.4262873331704,11.106281861111114,2.0,,,,,,,38736757.21282236,50549548.04203079,26960960.107271437,41790068.73762666,17252840.189458292,36805707.532466345,48972275.24448309,28763911.654418666,27564672.622781623,26792051.962777946,21516669.69336225,22001073.0946043,48594322.98980406,24707877.508121386,29579846.71325091,33424223.914695654,22859262.79247659,38008780.467605375,28358556.37026244,35678375.862452835,23685657.46633979,23000147.540957194,27510862.923280984,27977495.9137753,30542087.437003706,32252909.94327643,42565029.87810673,40445046.76024115,46728716.9790225,41098903.00467581,30660380.995096136,56328806.46962233,33193306.16511342,33060205.52925633,36441246.44761685,29884537.55803746,
29,346.222471052681,9.542461591666664,2.0,,,,,,,85835814.04207951,19449106.54642014,19967260.669418033,37090507.84235375,15378098.84140828,30450835.26911775,604722.7398556344,29658942.78305191,17305530.01960983,120779596.12604551,54199487.8884969,22831400.46572628,18419476.36471761,16416278.52377962,25525368.08136102,15682252.621470585,109125483.05346212,38271657.64231268,110463441.95060553,38613283.49003834,17713929.39332518,89122311.57272257,1251192.272557933,24888145.953939013,23205755.03343849,16141363.481197085,13266057.155993205,61139854.42819928,19325418.7272866,3711387.165567905,17853748.12509934,34108423.78839312,33136133.20375524,30427955.869989302,2891870.8358226344,41219443.27958428,
30,151.03527683681912,0.5607552030555555,1.0,,,,,,,45204790.39553718,44703186.50344387,78913095.45443119,14349013.268464513,43620626.21060317,44082747.98538125,10502396.798094874,97277026.80858392,38686857.175043255,59852847.30846437,59466583.75308186,18108959.52610057,18258861.48317264,19520122.03979524,29876428.438940875,21527699.21110436,11292359.849011868,16083218.561588287,52328732.52963022,40462696.78135918,24341302.38966596,19337549.182976536,4196116.558204228,31547634.44922355,26885474.34452639,28473954.589523327,46848670.92141316,21781094.86815348,51522137.84992608,14877031.674255734,48131704.54651575,52389150.48303164,19549038.371527307,26937895.523168843,24401971.90473017,48759900.45080622,
31,228.19588067796496,9.405692594444442,2.0,431.0,[M+NH4]+,,3.0,459;516;391,210.162,46858981.78946716,311799188.8698187,269922478.87406707,261239790.6667193,268000981.662481,139603806.94445357,98510441.32159536,223619290.80501541,175295275.2229181,299974531.1712848,194687554.28427815,195627323.0105825,156991642.6751765,497137088.23788935,358496728.2802561,234110309.7314796,227085030.68766356,421560064.95871335,550476854.136912,276579641.7342194,222691553.149113,495118514.5295388,47731329.72722222,462879903.1044648,357080463.45387644,368065269.94463056,183698814.31760964,212108933.35364488,408863740.89960986,679627007.5554134,129186546.11259472,264630145.18323255,128803377.5848607,159808730.57204485,332473907.97349185,318538657.17234135,
32,418.2436694404378,10.002631541666668,2.0,452.0,[M-H2O+NH4]+,,3.0,1661;2535;1375,418.2203,208630125.8177516,94810227.65364048,163361940.83804232,143152344.16336322,79966034.25829402,23717730.0147892,24396228.77257948,24939277.34825284,152021653.23670813,170041155.04369235,29524588.99385996,75581362.53776371,269455169.5088637,79811436.81344184,169573104.6613761,104013536.2663102,427321758.61948967,273054160.42027336,575726229.1533622,179993858.19868755,92089811.33346967,395233522.2408105,110174301.12965173,324547036.8248085,59247053.12402379,309561574.9832611,26893030.25172025,719448227.5308995,118030885.9725204,332368941.18855673,83259162.16736802,12665868.757256148,286215269.17760533,25842852.177699003,11404235.161372514,69543235.77359283,
33,746.5260235353502,10.596253027777779,2.0,,,,,,,38189989.14861136,36616747.94988231,21495407.304222893,28439837.56549248,26897262.715074394,20315020.317336693,23151364.04608332,26011732.002904814,16919513.928054497,21473572.18537348,22011060.23639423,19156244.54360508,20510206.966702253,20666801.750156157,18617721.230136625,25529070.72286928,14277629.455283836,19315409.831400488,23247480.56004009,26025209.03909211,21233884.10548867,21654640.36977222,15592940.797448058,16924717.14711225,22010607.531804174,22324838.906512927,39915231.79863109,36591311.05916143,26344706.00993818,21518069.811521374,27211136.90920251,27646458.34530104,21421362.316246007,23007518.987726577,22691132.36867037,31623421.44713924,
34,642.4787089029948,11.080093333333332,2.0,,,,,,,31600371.59712321,37788226.92573242,27990736.04068123,34836201.10099106,18708166.950398706,26362633.69773732,28331878.15620737,29679743.79654992,18006352.0552797,23702476.253982197,21927409.9778776,25515735.19792968,32518048.27726897,20678718.81347828,27285094.563686498,17222184.946850065,22457866.04287996,24013825.47528597,21274444.47972233,20785570.599444747,21045683.489717804,23304324.03414231,25143631.137823924,19261604.44960484,28201559.562147345,26776896.92290623,42099972.17781793,37204664.94634728,29675515.092638597,23065775.24415944,23647617.89289791,39444071.43297306,29103657.31692407,25121624.479973506,26314699.786979865,29566435.81023101,
35,274.2740579445449,8.499609015151513,2.0,,,,,,,64012590.16763006,149506244.28669673,61483090.0645209,75079690.13968441,64128762.5094949,0.0,247154.1699698678,65491874.53108194,78238038.84406705,61629886.43793339,66852780.17073871,72687250.68602182,59848419.10976371,46017574.19476958,48656214.71573792,66345533.5555564,0.0,51364695.03798135,438534.0292820557,55913562.93959596,59570109.02506594,47738857.440673105,329217.53751393646,44054987.15092756,54449810.65951248,48021282.76992343,64072576.51463758,70243218.6226394,48375038.34030286,44230492.89196064,95146180.97274356,71423246.20971625,2585967.725735021,0.0,156467352.8348601,67031430.67148091,
40,654.3320727878147,11.071108027777779,2.0,,,,,,,27011917.17203758,32420596.56137412,21584296.50921726,25786813.287502784,20621861.65585216,61589064.88942699,53776580.42056914,24120218.40003726,45064510.65874668,29501557.25366521,25560505.87012757,18056758.79137018,27370954.98698425,19172876.98430886,33127351.11229615,23406861.229252666,50686283.42542382,27839302.396301195,40709831.72857565,26430912.087043326,17807423.283550642,24172679.94056429,44180015.20773612,17633363.58692818,21564962.20542764,23305204.09261643,32317065.04662288,50379739.11870152,25213748.852241565,24316323.703049354,32770138.450893275,42000855.38694543,26344115.02173367,40605107.2234168,40679136.369891375,32271086.846179754,
43,319.2955837484881,9.405052791428572,2.0,,,,,,,35446355.859298065,32995877.26090877,27124534.7369222,24792195.92224185,20741427.948095504,7761449.231128368,2952944.742837165,14209180.434514565,20005655.35791818,19982316.14697603,15417761.09564857,13092141.656240333,12493604.929005384,22579679.908082314,21324136.458939914,16235633.9867384,10346134.3548186,28374463.161265515,32352384.561702795,18454240.96004296,9192114.40998983,32774315.25542914,0.0,23665626.9346636,22564222.08855237,13296876.190066222,8924171.413065085,11933275.334833944,16735628.430062652,24818589.020790484,13839825.255695453,25726812.764213603,2646363.0795684103,12956010.368429467,29897888.938235827,23718510.281502154,
45,182.98518159654407,13.127967166666664,2.0,,,,,,,117031510.10132176,87243760.75061344,83387827.83594687,83270324.38698682,87162821.20100054,84239242.33357629,96293860.15576404,85873604.88991842,93399408.49323092,95836656.32809848,87836915.07943165,77447643.85691907,72609864.66996524,85428818.49098426,83899691.85429367,90486207.010039,83885848.03402947,86591183.57677543,88983095.34979784,92403477.434535,84808243.1489715,93375037.5187879,97024054.60617244,79928563.51828583,82785828.57400961,80615290.46981078,73544012.83285305,85033291.04802923,86063181.16959628,87802856.63255069,96064734.6994966,85522451.57967722,82571503.17396717,75250603.25209945,89464710.69430563,85705515.96729839,
46,253.12231657240125,9.859948025,2.0,,,,,,,30099465.642705474,37230274.43312447,28159106.41178983,32958322.542739034,29103034.19113779,18789225.250747867,7801552.276623728,20797107.68380013,22277557.313887626,19757262.307708614,19060141.94021346,24561653.85395309,23591384.823889386,15816022.492230298,20067038.612312824,32811577.96180229,16913564.500363313,17415955.328805592,18347605.047438826,22300229.22857194,20856604.148187544,19226519.23028929,7811882.914402186,19940045.779118937,18343639.48422591,21660766.07006824,20018479.511025846,34260268.57964019,29167814.67692593,24894285.93987874,18237888.244093336,26488224.44250158,15093010.557941947,20200031.581349205,26923673.18195328,23993303.80972775,
47,344.2280379401313,3.33469075,2.0,50.0,[M+NH4]+,,2.0,3573;290,326.1944,76607888.99880281,458475079.8380116,2689023758.0812397,621511362.2363487,1728829352.8139641,2534465766.87175,2654538453.731718,4853724013.720858,1789154946.5807555,2511828482.6978235,4095255464.908945,1695738250.0599391,829503844.6828997,3933494160.73035,1950258067.8720238,5085542969.885785,3783647709.145324,2066297799.8040879,4058684755.6835256,1414136533.416321,4178193734.8605437,6189815540.9183,3709225890.590583,7005675491.570205,4772166593.291098,3153362712.483389,6741542565.666599,873544750.6009012,2644102541.572061,5061307640.167279,960570156.1689463,1322492675.364508,4565987083.271641,2827248131.4792085,756911941.4979037,2237598008.414769,
48,388.2541961669922,3.634522711111112,2.0,58.0,[M+NH4]+,,2.0,4659;581,370.2206,63453091.01986274,407201814.23299176,2826797322.57622,586564178.679615,1795068084.1296272,2576942613.4649763,2719756947.939872,5189816353.392054,1584900945.7855372,2603817594.3046308,4335776701.929314,1790808861.7762694,836648297.805984,4217313051.412992,2099708467.2815812,5070776719.978847,3919884742.408147,1977588187.0641005,4263762538.731092,1621974398.275599,4280226413.8762174,6798940387.971887,3872852957.512481,7236153766.1971035,5609328252.799811,3413459531.0794954,7051652280.479524,896407754.2584412,2900208349.594773,5373026292.7705345,1241977116.6981757,1297969975.2495456,4720588143.59842,2996044460.6103296,772026134.8287421,2248695446.653426,
49,453.3436097039117,4.654592113888888,2.0,119.0,[M+H]+,,4.0,2318;28864;1257;642,452.3361,48697901.30871842,1271127374.6620872,24825158549.42796,1520784968.4064555,22111030642.29718,2283735226.01579,7298006169.934093,9836570674.4278,3580128101.5429616,16767160448.85591,19843961597.75021,25030233601.96302,1509584779.785273,19133899200.096325,2077655030.785291,24693922959.416637,2398172265.9046,3389448963.581635,2949396200.7722106,1751917328.818607,19674236214.58937,10073902138.781084,8145080400.464709,24170064188.86196,4693532485.317629,22350112699.510662,21445917354.13722,1485165663.3621569,23412844979.01068,28706450634.849533,149998899.73106998,2026189897.8752594,17575161787.644432,2666700605.774745,1586243976.519248,4362032028.588857,
50,446.2750061882867,9.608677483333334,2.0,,,,,,,60395933.77691966,2374208503.639277,2100868972.3582106,2702601658.910268,1961267107.785346,79806183.47687702,11280684.007898966,116744442.08197188,1851218382.1025953,143094772.53001583,105378795.77233373,1772114698.14281,3304300167.037282,61402945.86549384,15648803.730289634,2141747627.6299837,27967905.813517306,1868476106.369389,22541081.865769885,59114649.93940365,1340060469.9708555,22861045.32533236,5954073.523412648,2009511803.429269,18939903.77564013,1757100587.3928244,76871593.28009787,3158626277.384839,1787861806.5917492,1739876519.774752,14106791.68820541,190714636.53061152,1128436569.934104,149950530.81390563,149228971.0572273,180295954.8418685,
51,518.2955826532274,10.297526444444443,2.0,,,,,,,48392975.99146865,5312105.747253757,7788391.542032876,60663878.60514623,16424731.720397687,3832127.3969025374,5408046.737535441,9395981.805436058,19681403.14299897,34454903.83878633,8851017.208550649,1281726.7161581186,38234952.13893214,88466780.64497167,76648681.62481342,4503331.229797449,388700269.4459152,209054238.27506799,224025284.80697656,84921202.42126937,5969319.895477163,172612936.84284785,43006607.37437368,39060096.26192905,4909452.308871139,43489128.45701975,21943999.330985706,387533817.073323,30277443.070843544,84304117.43808675,22070160.72486285,10172338.808057778,83327314.34842648,2146584.579925342,7417734.087135471,37268804.87289081,
52,347.08279783117933,10.911524944444444,2.0,,,,,,,68403271.81952186,50960730.90142092,34309091.363447495,45937856.78365468,38056058.76367389,19344938.84571809,15649889.297887798,19260333.413425934,26737338.75219835,9523829.357048362,26963597.88744237,31060070.36425757,36779352.55888674,29448749.56267885,12742833.56426439,40631202.61222161,9781633.271255126,14347240.612776538,12465069.197601262,14605706.237671185,12848279.856715435,19036067.47521336,20184238.18304583,30567088.70909515,13935267.458492542,13334893.042473584,15966415.766225345,56750566.33984674,37500671.46643221,12020496.887053227,28935748.009777486,40390772.91814999,12757250.313855568,26038718.193434425,15915135.56032374,37380803.717752665,
53,345.08489282598646,10.912082638888887,2.0,,,,,,,70555150.72358559,53488657.03388256,36237632.69150783,46972670.86574335,38597952.25501955,19439648.921815414,16809743.753495228,31133981.41901635,29362248.487498056,11075707.95716382,27868442.3556722,32828840.03339032,38844417.118592456,31065106.34705049,13529837.368402286,43331440.47820767,9968886.353135604,34641462.88610256,29311568.83816199,15390228.656829007,12647124.438547155,30653935.996943057,13883884.495485527,30437112.443403106,15217737.801614486,14222984.136393296,36808720.390947305,26991077.450626753,38245931.32376957,11768115.705228396,29343932.972018395,40101405.10878732,13369841.766316978,16738155.575232046,28439862.29814656,39794651.558964334,
