"","Sample_Name","Sample_Name_Unique","PCR_setting","Experiment.x","Replicate","Temp","Origin_PlanC","Field_Treatment","Bleaching_Status","Bleaching_Susceptability","Stress_status","Treatment_old","Treatment","Sample_Type","Timepoint_char","Timepoint","Bottle_NR","Notes","PLANC_aquaria","Experiment.y"
"24","ABC_013","ABC_013","Standard","ABC","I","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","T0",0,13,NA,"HE1_T7C","ABCDOM"
"25","ABC_014","ABC_014","Standard","ABC","I","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","T0",0,14,NA,"HE2_T7C","ABCDOM"
"26","ABC_014","ABC_014_v1","Standard","ABC","II","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","T0",0,14,NA,"HE2_T7C","ABCDOM"
"27","ABC_015","ABC_015_v1","Standard","ABC","II","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","T0",0,15,NA,"HE3_T7C","ABCDOM"
"28","ABC_015","ABC_015","Standard","ABC","I","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","T0",0,15,NA,"HE3_T7C","ABCDOM"
"29","ABC_016","ABC_016","Standard","ABC","I","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","T0",0,16,NA,NA,"ABCDOM"
"30","ABC_016","ABC_016_v1","Standard","ABC","II","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","T0",0,16,NA,NA,"ABCDOM"
"31","ABC_017","ABC_017_v1","Standard","ABC","II","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","T0",0,17,NA,NA,"ABCDOM"
"32","ABC_017","ABC_017","Standard","ABC","I","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","T0",0,17,NA,NA,"ABCDOM"
"33","ABC_018","ABC_018","Standard","ABC","I","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","T0",0,18,NA,NA,"ABCDOM"
"34","ABC_018","ABC_018_v1","Standard","ABC","II","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","T0",0,18,NA,NA,"ABCDOM"
"35","ABC_055","ABC_055","Standard","ABC","I","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","Tend",36,1,NA,"PB1_T7H","ABCDOM"
"36","ABC_055","ABC_055_v1","Standard","ABC","II","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","Tend",36,1,NA,"PB1_T7H","ABCDOM"
"37","ABC_056","ABC_056","Standard","ABC","I","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","Tend",36,2,NA,"PB2_T7H","ABCDOM"
"38","ABC_056","ABC_056_v1","Standard","ABC","II","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","Tend",36,2,NA,"PB2_T7H","ABCDOM"
"39","ABC_057","ABC_057","Standard","ABC","I","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","Tend",36,3,NA,"PB3_T7H","ABCDOM"
"40","ABC_057","ABC_057_v1","Standard","ABC","II","Hot","Partially Bleached","Dying","Bleached","SemiResistant","Thermal Stress","Bleached + Heated","Bleached + Heated","Sterivex","Tend",36,3,NA,"PB3_T7H","ABCDOM"
"41","ABC_059","ABC_059","Dil","ABC","I","Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","Sterivex","Tend",36,5,NA,"HE2_T7H","ABCDOM"
"42","ABC_059","ABC_059_v1","Standard","ABC","II","Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","Sterivex","Tend",36,5,NA,"HE2_T7H","ABCDOM"
"43","ABC_060","ABC_060_v1","Dil","ABC","II","Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","Sterivex","Tend",36,6,NA,"HE3_T7H","ABCDOM"
"44","ABC_060","ABC_060","Dil","ABC","I","Hot","Healthy","Bleaching","Non Bleached","Resistant","Thermal Stress","Heated","Non-bleached + Heated","Sterivex","Tend",36,6,NA,"HE3_T7H","ABCDOM"
"45","ABC_061","ABC_061_v1","Standard","ABC","II","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","Tend",36,7,NA,NA,"ABCDOM"
"46","ABC_061","ABC_061","Standard","ABC","I","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","Tend",36,7,NA,NA,"ABCDOM"
"47","ABC_062","ABC_062","Standard","ABC","I","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","Tend",36,8,NA,NA,"ABCDOM"
"48","ABC_062","ABC_062_v1","Standard","ABC","II","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","Tend",36,8,NA,NA,"ABCDOM"
"49","ABC_063","ABC_063_v1","Standard","ABC","II","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","Tend",36,9,NA,NA,"ABCDOM"
"50","ABC_063","ABC_063","Dil","ABC","I","Hot","control","Hot Water Control",NA,NA,"Thermal Stress","Heated Water Control","Heated Water Control","Sterivex","Tend",36,9,NA,NA,"ABCDOM"
"51","ABC_064","ABC_064","Standard","ABC","I","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","Tend",36,10,NA,"BL1_T7C","ABCDOM"
"52","ABC_064","ABC_064_v1","Standard","ABC","II","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","Tend",36,10,NA,"BL1_T7C","ABCDOM"
"53","ABC_065","ABC_065_v1","Standard","ABC","II","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","Tend",36,11,NA,"BL2_T7C","ABCDOM"
"54","ABC_065","ABC_065","Standard","ABC","I","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","Tend",36,11,NA,"BL2_T7C","ABCDOM"
"55","ABC_066","ABC_066","Standard","ABC","I","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","Tend",36,12,NA,"BL3_T7C","ABCDOM"
"56","ABC_066","ABC_066_v1","Standard","ABC","II","Ambient","Bleached","Recovering","Bleached","Susceptible","Ambient","Bleached","Bleached + Ambient","Sterivex","Tend",36,12,NA,"BL3_T7C","ABCDOM"
"57","ABC_067","ABC_067_v1","Standard","ABC","II","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","Tend",36,13,NA,"HE1_T7C","ABCDOM"
"58","ABC_067","ABC_067","Standard","ABC","I","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","Tend",36,13,NA,"HE1_T7C","ABCDOM"
"59","ABC_068","ABC_068","Standard","ABC","I","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","Tend",36,14,NA,"HE2_T7C","ABCDOM"
"60","ABC_068","ABC_068_v1","Standard","ABC","II","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","Tend",36,14,NA,"HE2_T7C","ABCDOM"
"61","ABC_069","ABC_069","Standard","ABC","I","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","Tend",36,15,NA,"HE3_T7C","ABCDOM"
"62","ABC_069","ABC_069_v1","Standard","ABC","II","Ambient","Healthy","Coral Control","Non Bleached","Resistant","Ambient","Control","Non-bleached + Ambient","Sterivex","Tend",36,15,NA,"HE3_T7C","ABCDOM"
"63","ABC_070","ABC_070","Standard","ABC","I","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","Tend",36,16,NA,NA,"ABCDOM"
"64","ABC_070","ABC_070_v1","Standard","ABC","II","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","Tend",36,16,NA,NA,"ABCDOM"
"65","ABC_071","ABC_071","Standard","ABC","I","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","Tend",36,17,NA,NA,"ABCDOM"
"66","ABC_071","ABC_071_v1","Standard","ABC","II","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","Tend",36,17,NA,NA,"ABCDOM"
"67","ABC_072","ABC_072","Dil","ABC","I","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","Tend",36,18,NA,NA,"ABCDOM"
"68","ABC_072","ABC_072_v1","Dil","ABC","II","Ambient","control","Water Control",NA,NA,"Ambient","Ambient Water Control","Ambient Water Control","Sterivex","Tend",36,18,NA,NA,"ABCDOM"
"69","ABC_MOC_B","ABC_MOC_B_v1","Standard","ABC","II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","ABC_MOC_B","ABC_MOC_B","Standard","ABC","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
