Well,Plate,Plate_Well,Sample,Tube Name:,Sample ID:,All Events,include Events,Sym-FSC Events,Sym-SSC Events,All Events  Events/μL(V),include Events/μL(V),Sym-FSC Events/μL(V),Sym-SSC Events/μL(V),sym.con,sym.events,Notes.x,Length,Width,Height,Shape,Vol,SA,Notes.y,Aquaria,Timepoint_Heat,Genotype,Timepoint,Heat,Aquaria_Timepoint_Heat,Outlier,Outlier1,Collection_Bleaching_Level,Species_Bl,Collection_Bleaching_Level1,Species,sym.total,sym.SA,log10.sym.SA
A12,2,02-Well-A12,PC_BL2_T0C_F,02-Well-A12,NA,80751,35379,1474,1258,538.3,522.89,9.83,8.39,9.83,1474,NA,1.1,1.6,2,box,10,12.56,NA,BL2,T0C,F,T0,C,BL2_T0C,NA,NA,BL,BL_Porites rus,BL,Porites rus,98300,7826.433121019108,3.893563878430958
B1,2,02-Well-B1,PC_BL3_T0C_A,02-Well-B1,NA,3650,1872,248,185,24.33,27.67,1.65,1.23,1.65,248,NA,NA,1,2.4,cylinder,10,18.22123739,NA,BL3,T0C,A,T0,C,BL3_T0C,NA,NA,BL,BL_Acropora pulchra,BL,Acropora pulchra,16500,905.5367452188163,2.9569060779763987
B2,2,02-Well-B2,PC_BL3_T0C_B,02-Well-B2,NA,5180,2675,428,287,34.53,39.54,2.85,1.91,2.85,428,NA,NA,0.8,2,cylinder,10,12.06371579,epiphytic algae. maybe,BL3,T0C,B,T0,C,BL3_T0C,NA,NA,BL,BL_Acropora pulchra,BL,Acropora pulchra,28500,2362.4561864781795,3.3733637629390985
B3,2,02-Well-B3,PC_BL3_T0C_C,02-Well-B3,NA,33428,23921,2041,1627,278.42,260.02,17,13.55,17,2041,NA,NA,1.7,5,cylinder,10,62.48627788,NA,BL3,T0C,C,T0,C,BL3_T0C,NA,NA,BL,BL_Pocillopora verrucosa,BL,Pocillopora verrucosa,170000,2720.5973178058657,3.4346642655590163
B5,2,02-Well-B5,PC_BL3_T0C_E,02-Well-B5,NA,108209,71498,2602,1123,901.13,777.03,21.67,9.35,21.67,2602,NA,1.3,2.3,2.8,box,10,23.15,NA,BL3,T0C,E,T0,C,BL3_T0C,NA,NA,BL,BL_Porites rus,BL,Porites rus,216700.00000000003,9360.691144708426,3.971307915965846
B6,2,02-Well-B6,PC_BL3_T0C_F,02-Well-B6,NA,72802,48200,4122,3062,606.62,524.22,34.35,25.51,34.35,4122,NA,NA,2,2.6,cone,10,20.6,NA,BL3,T0C,F,T0,C,BL3_T0C,NA,NA,BL,BL_Porites rus,BL,Porites rus,343500,16674.757281553397,4.222059521026416
B7,2,02-Well-B7,PC_PB1_T0C_A,02-Well-B7,NA,111607,81238,17848,16415,930.06,883.66,148.73,136.79,148.73,17848,NA,NA,0.9,2.8,cylinder,11.5,18.37831702,NA,PB1,T0C,A,T0,C,PB1_T0C,NA,NA,PB,BL_Acropora pulchra,BL,Acropora pulchra,1710395,93065.92100564385,4.968790679599317
B8,2,02-Well-B8,PC_PB1_T0C_B,02-Well-B8,NA,16839,12317,2511,1966,140.28,133.93,20.92,16.38,20.92,2511,NA,NA,0.8,1.7,cylinder,10,10.55575132,NA,PB1,T0C,B,T0,C,PB1_T0C,NA,NA,PB,BL_Acropora pulchra,BL,Acropora pulchra,209200.00000000003,19818.579810953714,4.297072529949226
B9,2,02-Well-B9,PC_PB1_T0C_C,02-Well-B9,NA,81030,55976,1146,967,675.23,608.86,9.55,8.06,9.55,1146,NA,NA,1.5,3.6,cylinder,10,40.99778413,NA,PB1,T0C,C,T0,C,PB1_T0C,NA,NA,PB,BL_Pocillopora verrucosa,BL,Pocillopora verrucosa,95500,2329.394186212083,3.3672429872083933
B10,2,02-Well-B10,PC_PB1_T0C_D,02-Well-B10,NA,72011,51631,2746,2362,599.46,560.85,22.86,19.66,22.86,2746,NA,NA,3.4,3.4,cone,10,51.35972677,NA,PB1,T0C,D,T0,C,PB1_T0C,NA,NA,PB,BL_Pocillopora verrucosa,BL,Pocillopora verrucosa,228600,4450.958258086543,3.648453521407285
B11,2,02-Well-B11,PC_PB1_T0C_E,02-Well-B11,NA,106978,73627,3351,2535,891.26,800.62,27.92,21.12,21.12,2535,Use Sym-SSC Sym-SSC Events/μL(V),NA,2.1,2.3,dome,15,20.5473129,NA,PB1,T0C,E,T0,C,PB1_T0C,NA,NA,PB,BL_Porites rus,BL,Porites rus,316800,15418.07444807053,4.188030138384514
B12,2,02-Well-B12,PC_PB1_T0C_F,02-Well-B12,NA,169236,118883,3811,3272,1409.9,1292.66,31.75,27.26,31.75,3811,NA,NA,1.6,2.1,cone,15,13.27046816,NA,PB1,T0C,F,T0,C,PB1_T0C,NA,NA,PB,BL_Porites rus,BL,Porites rus,476250,35887.957701109466,4.554948744363458
C1,2,02-Well-C1,PC_PB2_T0C_A,02-Well-C1,NA,48051,34990,6985,6218,400.41,380.58,58.21,51.81,58.21,6985,NA,NA,0.9,2,cylinder,10,13.8544236,NA,PB2,T0C,A,T0,C,PB2_T0C,NA,NA,PB,BL_Acropora pulchra,BL,Acropora pulchra,582100,42015.46140107915,4.623409137195978
C2,2,02-Well-C2,PC_PB2_T0C_B,02-Well-C2,NA,94073,69647,12474,11587,783.65,757.21,103.91,96.52,103.91,12474,NA,NA,0.9,2.4,cylinder,10,16.11637031,NA,PB2,T0C,B,T0,C,PB2_T0C,NA,NA,PB,BL_Acropora pulchra,BL,Acropora pulchra,1039099.9999999999,64474.81535934004,4.809390107094821
C3,2,02-Well-C3,PC_PB2_T0C_C,02-Well-C3,NA,160607,114758,9794,7494,1338.14,1247.97,81.6,62.44,62.44,7494,Use Sym-SSC Sym-SSC Events/μL(V),NA,1.6,3.1,cylinder,10,39.20707632,one tip overgrown with algae — avoided,PB2,T0C,C,T0,C,PB2_T0C,NA,NA,PB,BL_Pocillopora verrucosa,BL,Pocillopora verrucosa,624400,15925.696547831752,4.202098436314402
C4,2,02-Well-C4,PC_PB2_T0C_D,02-Well-C4,NA,88871,61759,3008,2751,740.58,671.77,25.07,22.92,25.07,3008,NA,NA,1.1,3.1,cylinder,11,25.22698901,one tip overgrown with algae — avoided,PB2,T0C,D,T0,C,PB2_T0C,NA,NA,PB,BL_Pocillopora verrucosa,BL,Pocillopora verrucosa,275770,10931.546364517959,4.038681601114809
C6,2,02-Well-C6,PC_PB2_T0C_F,02-Well-C6,NA,69207,41775,2341,2037,576.72,454.4,19.51,16.97,19.51,2341,NA,NA,1.4,2.4,NA,15,27.26902423,NA,PB2,T0C,F,T0,C,PB2_T0C,NA,NA,PB,BL_Porites rus,BL,Porites rus,292650.00000000006,10731.957166184236,4.030678930629891
C7,2,02-Well-C7,PC_PB3_T0C_A,02-Well-C7,NA,119235,88604,13884,12994,993.49,963.62,115.68,108.27,115.68,13884,NA,NA,1.1,4.8,cylinder,10,36.97654553,NA,PB3,T0C,A,T0,C,PB3_T0C,NA,NA,PB,BL_Acropora pulchra,BL,Acropora pulchra,1156800.0000000002,31284.69637763915,4.4953319444452084
C8,2,02-Well-C8,PC_PB3_T0C_B,02-Well-C8,NA,45442,32460,5568,4769,378.6,352.98,46.39,39.73,46.39,5568,NA,NA,0.9,2.6,cylinder,10,17.24734367,NA,PB3,T0C,B,T0,C,PB3_T0C,NA,NA,PB,BL_Acropora pulchra,BL,Acropora pulchra,463900,26896.895480021478,4.42970215532941
C9,2,02-Well-C9,PC_PB3_T0C_C,02-Well-C9,NA,143668,85406,6249,4877,1196.33,928.09,52.04,40.61,40.61,4877,Use Sym-SSC Sym-SSC Events/μL(V),2.1,2.3,3.1,box,10,32.11,NA,PB3,T0C,C,T0,C,PB3_T0C,NA,NA,PB,BL_Pocillopora verrucosa,BL,Pocillopora verrucosa,406100,12647.150420429773,4.101992683923535
C10,2,02-Well-C10,PC_PB3_T0C_D,02-Well-C10,NA,56442,40224,1947,1825,470.24,437.4,16.22,15.2,16.22,1947,NA,1.1,2.6,2.1,half box (triangle but width),10,10.63,NA,PB3,T0C,D,T0,C,PB3_T0C,NA,NA,PB,BL_Pocillopora verrucosa,BL,Pocillopora verrucosa,162200,15258.701787394166,4.18351758535184
C11,2,02-Well-C11,PC_PB3_T0C_E,02-Well-C11,NA,67823,47111,2894,2563,565.17,512.42,24.12,21.36,24.12,2894,NA,1,1.8,1.5,box,10,10.2,dead tissue avoided,PB3,T0C,E,T0,C,PB3_T0C,NA,NA,PB,BL_Porites rus,BL,Porites rus,241200.00000000003,23647.058823529416,4.373777131706197
C12,2,02-Well-C12,PC_PB3_T0C_F,02-Well-C12,NA,152354,101689,7361,6776,1269.62,1106.12,61.34,56.47,61.34,7361,NA,NA,1.4,3.4,cylinder,15,36.06548366,NA,PB3,T0C,F,T0,C,PB3_T0C,NA,NA,PB,BL_Porites rus,BL,Porites rus,920100,25511.927378378045,4.406743269984724
D1,2,02-Well-D1,PC_HE1_T0C_A,02-Well-D1,NA,251681,186248,53599,49153,2097.32,2025.88,446.65,409.6,446.65,53599,NA,NA,1,3.2,cone,15,10.53253785,NA,HE1,T0C,A,T0,C,HE1_T0C,NA,NA,HE,HE_Acropora pulchra,HE,Acropora pulchra,6699750,636100.2538433792,5.8035255688869505
D2,2,02-Well-D2,PC_HE1_T0C_B,02-Well-D2,NA,183746,137456,55172,52037,1531.21,1495.16,459.76,433.64,459.76,55172,NA,NA,1.4,2.8,cone,10,13.76863687,NA,HE1,T0C,B,T0,C,HE1_T0C,NA,NA,HE,HE_Acropora pulchra,HE,Acropora pulchra,4597600,333918.31329487305,5.523640237996596
D3,2,02-Well-D3,PC_HE1_T0C_C,02-Well-D3,NA,666863,478047,52795,48723,5556.22,5198.75,439.88,405.95,405.95,48723,Use Sym-SSC Sym-SSC Events/μL(V),2.3,2.8,3,box,10,37.04,Lost ~2.5ml,HE1,T0C,C,T0,C,HE1_T0C,NA,NA,HE,HE_Pocillopora verrucosa,HE,Pocillopora verrucosa,4059500,109597.73218142548,5.039801567731537
D4,2,02-Well-D4,PC_HE1_T0C_D,02-Well-D4,NA,337281,238281,32879,29568,2810.1,2591.2,273.94,246.35,246.35,29568,Use Sym-SSC Sym-SSC Events/μL(V),1.5,2.2,3.2,box,15,26.98,NA,HE1,T0C,D,T0,C,HE1_T0C,NA,NA,HE,HE_Pocillopora verrucosa,HE,Pocillopora verrucosa,3695250,136962.56486286139,5.136601880330724
D5,2,02-Well-D5,PC_HE1_T0C_E,02-Well-D5,NA,120760,78665,2307,1595,1006.32,855.66,19.22,13.29,19.22,2307,NA,1.8,1.2,2.8,Box,15,18.96,lost some blastate,HE1,T0C,E,T0,C,HE1_T0C,NA,NA,HE,HE_Porites rus,HE,Porites rus,288299.99999999994,15205.696202531642,4.182006309386161
D6,2,02-Well-D6,PC_HE1_T0C_F,02-Well-D6,NA,243157,166839,6393,5087,2025.71,1814.09,53.26,42.38,53.26,6393,NA,3.5,4.1,3.8,box with no lid or bottom,15,57.76,NA,HE1,T0C,F,T0,C,HE1_T0C,NA,NA,HE,HE_Porites rus,HE,Porites rus,798900,13831.371191135735,4.140865236597021
D7,2,02-Well-D7,PC_HE2_T0C_A,02-Well-D7,NA,132502,99046,31647,28709,1103.56,1076.57,263.58,239.11,263.58,31647,NA,NA,1.2,2.4,cylinder,10,22.61946711,NA,HE2,T0C,A,T0,C,HE2_T0C,NA,NA,HE,HE_Acropora pulchra,HE,Acropora pulchra,2635799.9999999995,116527.94414571863,5.066430084443814
D8,2,02-Well-D8,PC_HE2_T0C_B,02-Well-D8,NA,213720,160039,45554,42496,1780.5,1740.18,379.51,354.03,379.51,45554,NA,NA,0.9,1.8,cylinder,10,12.72345025,NA,HE2,T0C,B,T0,C,HE2_T0C,NA,NA,HE,HE_Acropora pulchra,HE,Acropora pulchra,3795100,298276.0120431956,5.474618327930709
D9,2,02-Well-D9,PC_HE2_T0C_C,02-Well-D9,NA,738131,517326,77770,68987,6148.9,5624.58,647.85,574.69,574.69,68987,Use Sym-SSC Sym-SSC Events/μL(V),1.4,3.1,3.6,box,10,36.74,NA,HE2,T0C,C,T0,C,HE2_T0C,NA,NA,HE,HE_Pocillopora verrucosa,HE,Pocillopora verrucosa,5746900.000000001,156420.7947740882,5.194294488207924
D10,2,02-Well-D10,PC_HE2_T0C_D,02-Well-D10,NA,160896,117479,12616,11130,1340.58,1277.6,105.12,92.74,105.12,12616,NA,2.3,1.5,2.8,cylinder,10,33.45796176,NA,HE2,T0C,D,T0,C,HE2_T0C,NA,NA,HE,HE_Pocillopora verrucosa,HE,Pocillopora verrucosa,1051200,31418.53073837693,4.497185871756308
D11,2,02-Well-D11,PC_HE2_T0C_E,02-Well-D11,NA,126963,80289,2614,2080,1057.58,872.86,21.77,17.33,21.77,2614,NA,1,2,2.2,box,15,15.2,NA,HE2,T0C,E,T0,C,HE2_T0C,NA,NA,HE,HE_Porites rus,HE,Porites rus,326550,21483.552631578947,4.332106100152003
D12,2,02-Well-D12,PC_HE2_T0C_F,02-Well-D12,NA,136112,86816,2953,2318,1134.09,944.15,24.6,19.31,24.6,2953,NA,NA,2.4,3.1,cone,15,29.55956565,NA,HE2,T0C,F,T0,C,HE2_T0C,NA,NA,HE,HE_Porites rus,HE,Porites rus,369000,12483.268677528758,4.096328317938103
E2,2,02-Well-E2,PC_HE3_T0C_B,02-Well-E2,NA,626705,390161,108286,102348,5222.28,4831.29,902.34,852.86,902.34,108286,NA,NA,1,5.5,cylinder,10,37.69911184,NA,HE3,T0C,B,T0,C,HE3_T0C,NA,NA,HE,HE_Acropora pulchra,HE,Acropora pulchra,9023400,239353.11893544067,5.379039091010054
E3,2,02-Well-E3,PC_HE3_T0C_C,02-Well-E3,NA,366574,105551,17221,15619,3054.48,3652.8,143.49,130.15,143.49,17221,NA,1.4,1.7,2.3,BOX,10,16.64,NA,HE3,T0C,C,T0,C,HE3_T0C,NA,NA,HE,HE_Pocillopora verrucosa,HE,Pocillopora verrucosa,1434900,86231.97115384616,4.9356683136369215
E4,2,02-Well-E4,PC_HE3_T0C_D,02-Well-E4,NA,159945,90412,13228,11126,1332.68,1488.56,110.22,92.7,110.22,13228,NA,2,3.2,2.8,box,15,35.52,NA,HE3,T0C,D,T0,C,HE3_T0C,NA,NA,HE,HE_Pocillopora verrucosa,HE,Pocillopora verrucosa,1653300,46545.60810810811,4.66787870863857
E6,2,02-Well-E6,PC_HE3_T0C_F,02-Well-E6,NA,283404,194560,8289,7178,2360.3,2114.69,69.03,59.78,69.03,8289,NA,1.4,1.7,2.4,box,15,17.26,NA,HE3,T0C,F,T0,C,HE3_T0C,NA,NA,HE,HE_Porites rus,HE,Porites rus,1035450,59991.309385863264,4.778088341064796
H8,1,01-Well-H8,PC_PB2_T0C_E,01-Well-H8,NA,477555,76114,169,146,26057.26,17236.83,9.22,7.97,9.22,169,NA,1.1,2.4,3.1,box,15,24.34,NA,PB2,T0C,E,T0,C,PB2_T0C,NA,NA,PB,BL_Porites rus,BL,Porites rus,138300,5682.004930156121,3.7545016062152645
H8,1,01-Well-H8,PC_PB2_T0C_E,01-Well-H8(1),NA,345426,201295,8202,7452,1972.83,3184.09,46.84,42.56,46.84,8202,NA,1.1,2.4,3.1,box,15,24.34,NA,PB2,T0C,E,T0,C,PB2_T0C,NA,NA,PB,BL_Porites rus,BL,Porites rus,702600,28866.06409202958,4.46038757156196
