VisualizationID	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	SMILES	FDR
spectra-00000_PSM_9_8WXDSBT7B4	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	591	612	9812	Tolybyssidin_A	11	2.4e-18	1464.87	503.654	377.381	M+3H	3	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_26_U5J9ID5U8I	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	4806	5124	8556	PHB;_sPHB;_Poly-(hydroxybutyric_acid),_m	7	4.2e-18	878.378	838.406	599.163	M+H	1	C(=O)(CC(OC(=O)CC(OC(=O)CC(OC(=O)CC(O)C)C)C)C)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)O)C)C)C)C)C)C	0.00
spectra-00000_PSM_2_GNTRFWEOE1	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	149	154	9812	Tolybyssidin_A	14	4.9e-18	1464.87	523.001	379.459	M+3H	3	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_13_M2B3BTSB3P	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1774	1847	6523	Friulimicin_Friulimicin_D	11	7.5e-18	1316.7	613.386	466.12	M+2H	2	CCC(C)CCCCCCCC=CCC(=O)NC(CC(=N)O)C(=O)NC1C(C)NC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)C(C(C)N)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(C(C)C(=O)O)NC(=O)C2CCCCN2C1=O	0.00
spectra-00000_PSM_6_61I7DNOEI8	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	9295	10843	7416	B_12489_B_12489B	11	7.6e-18	1100.62	547.327	469.797	M+2H	2	CCCCCC1CC(=O)NC(CN)C(=O)NC(Cc2ccccc2)C(=O)NC(CCN)C(=O)NC(=CC)C(=O)NC(CC(C)C)C(=O)NC(CN)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(=O)O)C(=O)O1)C(C)(C)O	0.00
spectra-00000_PSM_11_IKSYNHNXH6	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	8129	9195	2730	Peptidolipin_F_Peptidolipin_F	11	9.2e-18	781.459	431.27	279.424	M+2H	2	CCC(C)C1C(=O)NC(C(C)C)C(=O)NC(C(C)OC)C(=O)OC(C)CC(=O)NC(C(C)O)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)N2CCCC2C(=O)N1	0.00
spectra-00000_PSM_20_06PJECKLLQ	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	124	129	7485	Aurilide_B_Aurilide_B	10	1.6e-17	833.551	489.315	331.076	M+2H	2	CCC=C(C)C1C(C)C(CC=C(C)C(=O)OC(C(C)CC)C(=O)NC(C(C)C)C(=O)N(C)C(C(C)CC)C(=O)N(C)CC(=O)NC(C(C)C)C(=O)N(C)C(C)C(=O)O1)O	0.00
spectra-00000_PSM_15_HVYB59ML0X	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	578	597	9812	Tolybyssidin_A	10	2.2e-17	1464.87	488.306	399.577	M+3H	3	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_25_8KMUPVUOHG	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	2511	2639	8330	Orbuticin,_proposed_structure_I	8	2.2e-17	646.226	557.22	491.116	M+H	1	C1(=O)c2c(cc(cc2O)O)CC(OC(=O)c2c(cc(cc2O)O)CC(OC(=O)CC(OC(=O)CC(OC(=O)CC(O1)C)C)C)C)C	0.00
spectra-00000_PSM_4_OP7C42XXIQ	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	397	411	9812	Tolybyssidin_A	12	2.8e-17	1464.87	709.446	370.717	M+2H	2	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_17_8U5Q7E8H6Y	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	103	107	5973	Kahalalide_E_Kahalalide_E	10	3.8e-17	835.521	423.275	314.598	M+2H	2	CC(C)CCCCCC1CC(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O1	0.00
spectra-00000_PSM_12_Z6CT01H5M3	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	3273	3461	9052	Lipopeptide_A	11	6.6e-17	1177.56	547.327	455.886	M+2H	2	C1(=O)C(NC(=O)C(NC(=O)CCCC)CC(=O)C)C(NC(=O)C2N(C(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C3N1CCCC3)C(C(=O)O)C)CC(=O)O)CC(=O)O)C(N)C)C(C)C)CCC2)C	0.00
spectra-00000_PSM_27_QDVBJ09JXA	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	4213	4490	8456	OHB;_cPHB;_Oligo-(hydroxybutyric_acid),	7	7.7e-17	792.342	738.354	578.882	M+H	1	C(=O)(CC(OC(=O)CC(OC(=O)CC(OC(=O)CC(O)C)C)C)C)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)O)C)C)C)C)C	0.00
spectra-00000_PSM_16_TD4NFUSTRA	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	9208	10698	541	Cyclolinopeptide_A_Cyclolinopeptide_A	10	9.0e-17	1039.65	525.307	377.522	M+2H	2	CCC(C)C1C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)N2CCCC2C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)N1	0.00
spectra-00000_PSM_19_ISH0GINYVD	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	293	303	9812	Tolybyssidin_A	10	1.2e-16	1464.87	687.433	367.457	M+2H	2	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_14_FCKPZ8LDRE	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	318	329	9812	Tolybyssidin_A	10	1.3e-16	1464.87	488.979	374.558	M+3H	3	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_18_R0EARYYYHR	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	628	651	9812	Tolybyssidin_A	10	2.1e-16	1464.87	518.331	380.592	M+3H	3	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_10_0PADUYPRAH	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	917	946	3106	Antibiotic_BK_230_Antibiotic_BK_230	11	2.3e-16	1125.67	525.343	383.276	M+2H	2	CCC(C)C1C(=O)NCC(=O)N(C)C(C(C)C)C(=O)NC(Cc2ccc(cc2)OC)C(=O)OC(C)C(=O)N2CCCCC2C(=O)N(C)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(=O)O)C(=O)N(C)C(C(C)CC)C(=O)N1C	0.00
spectra-00000_PSM_28_ML92HYN890	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	81	84	9812	Tolybyssidin_A	12	5.4e-16	1464.87	464.3	367.439	M+3H	3	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_30_K2FAWJS8U8	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	2374	2488	7838	Pleofungin_A_N2'-Ac	10	5.8e-16	1136.73	636.397	343.482	M+2H	2	CCC(C)C1C(=O)N(C)C(CC(C)C)C(=O)NC(C(C)O)C(=O)N(C)C(C(C)C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)OC(C)C(C(=O)OC(C(C)C)C(=O)OC(CC(C)C)C(=O)N1)NC(=O)C(C(C)CC)N(C)C(=O)C	0.00
spectra-00000_PSM_31_SZQ8W0SJBZ	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	226	233	9812	Tolybyssidin_A	10	6.8e-16	1464.87	665.419	364.125	M+2H	2	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_29_JSHZW90UBR	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	10177	12183	7416	B_12489_B_12489B	10	6.9e-16	1100.62	547.309	457.258	M+2H	2	CCCCCC1CC(=O)NC(CN)C(=O)NC(Cc2ccccc2)C(=O)NC(CCN)C(=O)NC(=CC)C(=O)NC(CC(C)C)C(=O)NC(CN)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(=O)O)C(=O)O1)C(C)(C)O	0.00
spectra-00000_PSM_33_R85YMQWD7Q	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	5157	5520	4665	Talaromin_B_Talaromin_B	9	7.3e-16	777.406	357.191	290.099	M+2H	2	CCC(C)C1C(=O)NC(Cc2ccc(cc2)O)C(=O)NC(C(C)O)C(=O)NC(C)C(=O)NC(C(C)CC)C(=O)N2CCCC2C(=O)Nc2ccccc2C(=O)N1	0.00
spectra-00000_PSM_32_ZP432T181M	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	7571	8463	9422	phakellistatin_9	11	9.4e-16	1122.65	519.321	302.91	M+2H	2	[C@@H]12N(C(=O)[C@H]3N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]4N(C(=O)[C@H]5N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@@H](NC1=O)[C@@H](C)CC)C(C)C)CC(C)C)CCC5)CCC4)Cc1ccc(cc1)O)C(C)C)CCC3)CCC2	0.00
spectra-00000_PSM_35_FC7JWTQ2YP	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	2206	2308	6374	Permetin_A_2-L-Valine_analogue	10	9.9e-16	1086.68	614.386	339.605	M+2H	2	CCC(C)C1CC(=O)NC(CCN)C(=O)NC(C(C)C)C(=O)NC(CCN)C(=O)NC(Cc2ccccc2)C(=O)NC(CC(C)C)C(=O)NC(CCN)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)O1	0.00
spectra-00000_PSM_34_MQJHS2OILN	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	481	496	9537	(D)-Ser-cyclosporin	10	1.1e-15	1217.84	636.479	707.936	M+2H	2	N1(C(=O)[C@H](N(C(=O)[C@@H](N(C(=O)[C@@H](N(C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@@H](N(C(=O)CN(C(=O)[C@H](NC(=O)[C@@H]1[C@@H]([C@@H](C/C=C/C)C)O)CC)C)C)CC(C)C)C(C)C)C)CC(C)C)C)CO)C)CC(C)C)C)CC(C)C)C)C(C)C)C	0.00
spectra-00000_PSM_36_3V1CMQNBZL	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	153	158	6989	BZR-Cotoxin_II_BZR-Cotoxin_II	10	1.8e-15	964.573	555.354	345.028	M+2H	2	CC(C)CC1C(=O)NC2(CC2)C(=O)OC(CC(C)C)C(=O)N(C)C(CC(C)CO)C(=O)N(C)C(C(C)C)C(=O)NC(C(C)O)C(=O)OC(C(C)C)C(=O)N2CC(C)CC2C(=O)N(C)C(C)C(=O)O1	0.00
spectra-00000_PSM_38_4LSPSHKO3R	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	110	114	7485	Aurilide_B_Aurilide_B	9	2.2e-15	833.551	401.262	308.259	M+2H	2	CCC=C(C)C1C(C)C(CC=C(C)C(=O)OC(C(C)CC)C(=O)NC(C(C)C)C(=O)N(C)C(C(C)CC)C(=O)N(C)CC(=O)NC(C(C)C)C(=O)N(C)C(C)C(=O)O1)O	0.00
spectra-00000_PSM_37_E9BX5QLBNL	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	177	183	9812	Tolybyssidin_A	11	2.4e-15	1464.87	537.677	382.097	M+3H	3	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_39_WPU3T8SFHV	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	120	124	4625	Lyngbyazothrin_C_Lyngbyazothrin_C	10	2.5e-15	1531.78	508.327	371.863	M+3H	3	CCC(C)C1C(=O)NC(CO)C(=O)NC(=CC)C(=O)NC(C(C)O)C(=O)NC(CCc2ccc(cc2)OC)C(=O)N2CCCC2C(=O)NC(CC(CC(C(CC(C)C)O)O)OC(=O)C(Cc2ccc(cc2)O)N(C)C(=O)C)C(C(=O)NC(CCC(=N)O)C(=O)NCC(=O)N2CCCC2C(=O)N2CCCC2C(=O)N1)O	0.00
spectra-00000_PSM_40_XMMFKEGHX6	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	138	143	7838	Pleofungin_A_N2'-Ac	10	2.8e-15	1136.73	533.341	340.669	M+2H	2	CCC(C)C1C(=O)N(C)C(CC(C)C)C(=O)NC(C(C)O)C(=O)N(C)C(C(C)C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)OC(C)C(C(=O)OC(C(C)C)C(=O)OC(CC(C)C)C(=O)N1)NC(=O)C(C(C)CC)N(C)C(=O)C	0.00
spectra-00000_PSM_43_PLLAOX6XAZ	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	114	118	6989	BZR-Cotoxin_II_BZR-Cotoxin_II	10	3.0e-15	964.573	511.327	335.947	M+2H	2	CC(C)CC1C(=O)NC2(CC2)C(=O)OC(CC(C)C)C(=O)N(C)C(CC(C)CO)C(=O)N(C)C(C(C)C)C(=O)NC(C(C)O)C(=O)OC(C(C)C)C(=O)N2CC(C)CC2C(=O)N(C)C(C)C(=O)O1	0.00
spectra-00000_PSM_42_BGA6N710JG	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	990	1024	6374	Permetin_A_2-L-Valine_analogue	10	3.1e-15	1086.68	547.356	386.83	M+2H	2	CCC(C)C1CC(=O)NC(CCN)C(=O)NC(C(C)C)C(=O)NC(CCN)C(=O)NC(Cc2ccccc2)C(=O)NC(CC(C)C)C(=O)NC(CCN)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)O1	0.00
spectra-00000_PSM_41_DOZTUUS5RN	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	92	96	9812	Tolybyssidin_A	13	3.2e-15	1464.87	478.975	370.617	M+3H	3	C1(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N/C(=C\C)/C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H]1C(C)C)C(C)C)[C@@H](O)C)[C@@H](OC(=O)C)C)C(C)C)Cc1ccccc1)C(CC)C)C(CC)C)[C@H](O)C)CC(C)C)CCCNC(=N)N)CCC2	0.00
spectra-00000_PSM_44_FBB3LJ7FGG	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1293	1343	4397	Majusculamide_C_Demethoxy	10	3.8e-15	954.579	429.276	371.253	M+2H	2	CCC(C)C1C(=O)NCC(=O)N(C)C(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(C)C(=O)C(C)(C)C(=O)NC(C)C(=O)NC(CC)C(C)C(=O)OC(C(C)CC)C(=O)NCC(=O)N1C	0.00
spectra-00000_PSM_45_3II1LY6S71	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	8856	10179	5210	Phomalide_Phomalide	7	3.9e-15	557.31	633.361	339.521	M+H	1	CC=C1C(=O)OC(Cc2ccccc2)C(=O)OC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)N1	0.00
spectra-00000_PSM_46_EKRSAGFTSH	MilouArts/DOM/2019/ABCDom_PlanC_prelim/211222_ABCDomPlanC_IIN_GNPS.mgf	1153	1198	2752	Cyclosporin,_9CI_4-L-Leucine,_10-L-alanine_analogue	10	8.2e-15	1175.79	569.37	390.435	M+2H	2	CC=CCC(C)C(C1C(=O)NC(C(C)O)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)NC(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
