"","Mo_2019_122_C"
"33_498.1765_12.2016_87_N/A_Spectral Match to Linoleic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","8.895893e+03"
"34_388.2542_3.6277_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.608434e+09"
"35_446.275_9.6045_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","4.713595e+08"
"36_453.3436_4.6497_112_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Amino acids, peptides, and analogues","3.776306e+08"
"37_319.2956_9.4085_852_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Hydroxysteroids","1.246591e+06"
"38_253.1223_9.8629_78_N/A_PHENYLPROPIOLIC ACID_NA_Organic compounds_Phenylpropanoids and polyketides_Stilbenes_NA","8.279910e+07"
"39_243.0005_0.5564_1017_N/A_NA_NA_Organic compounds_Benzenoids_Phenol ethers_Anisoles","4.295246e+06"
"40_432.2804_3.8722_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.997518e+09"
"41_345.085_10.7767_744_5-{[(3-chloro-2-methylphenyl)amino]azamethylene}-1-(2-hydroxyethyl)-4-methyl-2 ,6-dioxohydropyridine-3-carbonitrile_Gestodene_NA_Organic compounds_Phenylpropanoids and polyketides_Benzene and substituted derivatives_NA","1.687583e+07"
"42_347.0829_10.7761_744_2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6,8-dimethoxychromen-4-one_Massbank:LU042901 Norethindrone|(8R,9S,10R,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one_NA_Organic compounds_Phenylpropanoids and polyketides_Benzene and substituted derivatives_NA","1.683513e+07"
"43_518.2955_10.2936_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","1.587671e+07"
"44_336.3262_11.8764_87_N/A_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","1.091801e+06"
"45_300.2017_2.9703_110_N/A_Spectral Match to Hexaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.707373e+09"
"46_269.1383_9.5448_195_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","2.565221e+07"
"47_654.3321_11.0724_651_N/A_AC1L1X1Z_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Pregnane steroids","1.235206e+07"
"48_387.193_9.6419_494_N/A_Massbank: Cholesterol_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","3.675936e+07"
"49_476.3066_4.0899_110_N/A_Spectral Match to Decaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.642466e+09"
"50_614.4838_11.0904_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","2.404758e+07"
"51_570.4575_11.1059_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","3.155806e+07"
"52_310.3105_11.7408_87_N/A_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","1.523966e+08"
"53_532.3109_10.13_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","1.482126e+06"
"54_226.1802_7.5523_147_VITAMIN K1_VITAMIN K1_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","5.521134e+08"
"55_510.3996_11.1162_107_N/A_Palmitoylcarnitine_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","1.183016e+06"
"56_423.9549_0.5545_2106_N/A_NA_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Nitrobenzenes","9.328555e+05"
"57_228.1959_8.2881_209_N/A_VITAMIN K1_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_NA","4.118499e+08"
"58_438.3791_11.1352_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","6.684660e+07"
"59_281.1538_10.3648_78_N/A_NA_NA_Organic compounds_Phenylpropanoids and polyketides_Stilbenes_NA","3.936461e+07"
"60_282.2792_11.2716_87_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_Spectral Match to Oleic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","6.759201e+08"
"62_526.4311_11.1154_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","4.047650e+07"
"63_493.3355_11.8458_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","0.000000e+00"
"64_686.505_11.0705_-1_N/A_PE(16:0/16:0); [M-H]- C37H73N1O8P1_NA_no matches_no matches_no matches_no matches","3.909985e+05"
"65_582.2073_11.2611_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","3.122354e+05"
"66_239.1487_2.776_110_Massbank:LU086203 Pentaethylene glycol|2-[2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethanol_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","2.872552e+06"
"67_512.4154_10.7541_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","4.780857e+06"
"69_468.3896_10.9472_-1_N/A_Spectral Match to Hexaethylene glycol from NIST14_NA_no matches_no matches_no matches_no matches","7.851632e+07"
"70_482.4052_11.1177_110_N/A_Spectral Match to Hexaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","5.115531e+07"
"71_384.2958_6.3877_820_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Glycerophospholipids_Glycerophosphoethanolamines","1.991057e+08"
"72_212.1182_4.0568_96_Massbank:LU084502 1,3-Diphenylguanidine|1,2-diphenylguanidine_Massbank:LU084502 1,3-Diphenylguanidine|1,2-diphenylguanidine_NA_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_NA","1.136887e+10"
"73_432.2596_9.884_34_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","5.810463e+06"
"74_309.2272_5.5588_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","2.001138e+08"
"75_618.3477_10.4778_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","1.893606e+07"
"76_520.3327_4.294_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.210409e+09"
"77_399.3944_10.9645_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","3.944071e+05"
"78_283.1751_2.97_110_Spectral Match to Hexaethylene glycol from NIST14_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.034763e+09"
"79_258.2065_9.1755_147_N/A_VITAMIN K1_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","8.461741e+07"
"80_336.3262_12.0749_87_N/A_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","1.372342e+05"
"81_244.1909_7.428_147_N/A_Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","3.825382e+08"
"82_424.3633_10.9149_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","2.304391e+08"
"83_167.0129_13.2125_-1_N/A_23_NA_no matches_no matches_no matches_no matches","6.757514e+07"
"84_464.2998_6.124_49_N/A_NA_Tolybyssidin_A_Organic compounds_Organic acids and derivatives_Peptidomimetics_Peptoid-peptide hybrids","4.965965e+07"
"85_424.9933_11.1121_744_N/A_6,7-dimethoxy-1-(2-methylpropyl)-3,4-dihydroisoquinoline_NA_Organic compounds_Phenylpropanoids and polyketides_Benzene and substituted derivatives_NA","1.641737e+07"
"86_404.2278_9.7655_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","1.270861e+07"
"87_352.3211_11.0452_87_N/A_Spectral Match to Linolenic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","4.501256e+06"
"88_504.2801_10.1142_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","1.077676e+07"
"89_496.1782_12.2085_87_N/A_Spectral Match to Linoleic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","2.159212e+04"
"90_194.1177_0.6707_91_Massbank:LU075301 Parbenate|Ethyl 4-dimethylaminobenzoate_n-methyl-2,4-dihydroxy-3-phenylquinoline_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA","1.785825e+07"
"91_702.2138_12.1219_184_Contaminant vial septum ThermoFisher C5000-44B_Contaminant vial septum ThermoFisher C5000-44B_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides","4.590161e+07"
"92_790.5523_10.5822_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","6.386113e+05"
"93_684.203_12.3472_172_N/A_Contaminant vial septum ThermoFisher C5000-44B_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides","7.311842e+07"
"95_296.2205_9.4088_613_N/A_Himbacine_NA_Organic compounds_Organoheterocyclic compounds_Pyrrolidines_N-acylpyrrolidines","3.816644e+06"
"96_478.9752_6.1769_49_N/A_NA_Tolybyssidin_A_Organic compounds_Organic acids and derivatives_Peptidomimetics_Peptoid-peptide hybrids","3.978346e+07"
"97_632.3635_10.3296_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","1.256497e+06"
"98_394.353_11.1427_110_N/A_Spectral Match to Tetraethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","5.224082e+07"
"99_397.3789_11.0455_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","1.459727e+06"
"100_449.6243_6.0684_49_N/A_NA_[Dihydro-MeBmt]1-[g-hydroxy-Meleu]4-cycl_Organic compounds_Organic acids and derivatives_Peptidomimetics_Peptoid-peptide hybrids","4.567659e+07"
"101_454.2267_11.9996_87_N/A_Spectral Match to Linoleic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","0.000000e+00"
"102_336.3259_10.9429_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","7.441003e+05"
"103_434.263_11.1938_87_N/A_Spectral Match to Linoleic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","3.808501e+04"
"104_564.3591_4.4737_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","8.349847e+08"
"105_556.4418_10.8445_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.834920e+07"
"106_341.3163_10.3613_87_N/A_Spectral Match to 9(10)-EpOME from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","1.037941e+08"
"107_423.2751_5.2433_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_Kahalalide_E_Kahalalide_E_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","3.475375e+08"
"108_658.5102_11.075_110_N/A_Spectral Match to Decaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.397250e+07"
"109_239.1431_9.9024_-1_N/A_6-hydroxy-2-[(4-methylphenyl)methylene]benzo[b]furan-3-one_NA_no matches_no matches_no matches_no matches","1.231652e+07"
"110_442.3376_7.1596_820_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Glycerophospholipids_Glycerophosphoethanolamines","2.033899e+08"
"111_228.1959_11.3549_209_N/A_VITAMIN K1_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_NA","3.757134e+06"
"112_301.1646_9.4449_1989_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Isoquinolines and derivatives_NA","9.376493e+06"
"113_290.2691_8.6536_1602_N/A_Massbank:BML00395 Cyclocytidine_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines","3.954712e+06"
"114_401.2622_5.1376_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_Aurilide_B_Aurilide_B_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","4.144700e+08"
"115_493.6506_6.2278_49_N/A_NA_Tolybyssidin_A_Organic compounds_Organic acids and derivatives_Peptidomimetics_Peptoid-peptide hybrids","3.285749e+07"
"116_284.2949_11.7277_77_Spectral Match to Octadecanamide from NIST14_Spectral Match to Palmitamide from NIST14_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines","6.673506e+06"
"117_336.3261_12.252_87_N/A_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","7.313877e+04"
"118_511.3275_5.5991_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_BZR-Cotoxin_II_BZR-Cotoxin_II_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","1.724646e+08"
"119_608.3853_4.63_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","6.238939e+08"
"120_174.09_12.7647_704_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_NA","4.694127e+07"
"121_296.2585_10.3686_87_N/A_Spectral Match to Pinolenic acid from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","3.628926e+08"
"122_423.1993_9.5963_290_N/A_methyl 15-acetyl-5-methyl-5,15-diazahexacyclo[14.2.2.1.0.0.0]henicosa-9,11,13-triene-17-carboxylate, iodide_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones","3.401673e+08"
"123_445.2882_5.3401_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","3.092585e+08"
"124_508.3268_6.1977_-1_N/A_NA_Lyngbyazothrin_C_Lyngbyazothrin_C_Organic compounds_Organic Polymers_Polypeptides_NA","2.382436e+06"
"125_379.249_5.0285_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_Aurilide_B_Aurilide_B_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","3.835435e+08"
"127_600.4681_10.7748_-1_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_no matches_no matches_no matches_no matches","6.588038e+06"
"128_746.4323_10.6099_107_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","3.827027e+05"
"129_489.3145_5.5179_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_Aurilide_B_Aurilide_B_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","2.198116e+08"
"130_247.1665_2.2293_1289_NCGC00385962-01_C16H24O3__NCGC00385962-01_C16H24O3__NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA","0.000000e+00"
"131_452.2288_12.0094_87_N/A_Spectral Match to Linoleic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","0.000000e+00"
"132_467.3015_5.4308_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_Kahalalide_E_Kahalalide_E_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","2.487455e+08"
"133_540.2483_9.8555_2276_N/A_NA_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","0.000000e+00"
"134_626.4838_11.5003_107_N/A_smenospongidine_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","6.132431e+05"
"135_466.374_11.1284_107_N/A_Palmitoylcarnitine_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","9.452144e+05"
"136_434.9489_6.0108_49_N/A_NA_g-Hydroxy-Meleu4-cyclosporin_Organic compounds_Organic acids and derivatives_Peptidomimetics_Peptoid-peptide hybrids","4.235112e+07"
"137_224.9896_0.5607_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","1.181999e+06"
"138_174.09_12.1495_704_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_NA","1.252616e+07"
"139_479.3098_6.177_30_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","2.293610e+07"
"140_431.3846_11.4143_-1_N/A_NA_NA_no matches_no matches_no matches_no matches","1.027498e+05"
"141_174.09_12.976_704_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_NA","2.526708e+06"
"142_402.9361_0.5535_1994_N/A_NA_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Sulfanilides","4.111706e+05"
"143_533.3406_5.6778_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_Pleofungin_A_N2'-Ac_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","1.291766e+08"
"144_368.2644_7.2755_45_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Organooxygen compounds_NA","7.979510e+07"
"145_577.3669_5.8165_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_Cyclosporin,_9CI_Cyclosporin_S_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","1.548547e+07"
"146_496.4209_11.3552_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","2.419589e+07"
"147_540.4468_11.3447_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","1.925616e+07"
"148_246.2428_7.1835_2314_N/A_peiminine_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines","1.057415e+07"
"149_479.3193_11.1896_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides","0.000000e+00"
"150_452.3947_11.368_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA","2.526499e+07"
"151_357.236_4.9052_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_Aurilide_B_Aurilide_B_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","4.183245e+08"
"152_599.3802_5.8866_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_SCH-378161_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","7.822035e+07"
"153_582.4574_11.5139_107_N/A_Sorbitane Monopalmitate - Polysorbate 40 in-source fragment_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","9.620471e+05"
"154_523.0012_6.3243_49_N/A_NA_Tolybyssidin_A_Organic compounds_Organic acids and derivatives_Peptidomimetics_Peptoid-peptide hybrids","1.844268e+07"
"155_174.09_11.925_704_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_NA","1.648486e+07"
"156_226.1802_11.4149_209_VITAMIN K1_VITAMIN K1_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_NA","4.989138e+05"
"157_380.3372_10.9487_1323_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA","6.386223e+07"
"158_555.354_5.7505_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_BZR-Cotoxin_II_BZR-Cotoxin_II_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides","1.039456e+08"
"159_288.922_0.5982_631_N/A_NA_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Halobenzenes","2.172301e+07"
"160_426.3064_8.1459_45_N/A_[(6E,10Z)-6-formyl-10-(hydroxymethyl)-3-methylidene-2-oxo-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-4-yl] 3-methylbutanoate_NA_Organic compounds_Lipids and lipid-like molecules_Organooxygen compounds_NA","8.189710e+07"
